Zeit [h]	Tf [C]	Heizleistung [W]	Massenstrom [kg/s]
6.316666667	19.8	5329	0.367777778
6.333333333	19.8	5319	0.369444444
6.35	19.75	5288	0.366111111
6.366666667	19.8	5234	0.366666667
6.383333333	19.85	5309	0.367222222
6.4	19.75	5220	0.366666667
6.416666667	19.8	5273	0.367222222
6.433333333	19.8	5185	0.366111111
6.45	19.8	5330	0.364722222
6.466666667	19.75	5355	0.365277778
6.483333333	19.8	5195	0.364722222
6.5	19.8	5253	0.363611111
6.516666667	19.75	5308	0.367222222
6.533333333	19.85	5317	0.365
6.55	19.85	5382	0.367222222
6.566666667	19.85	5275	0.367222222
6.583333333	19.85	5308	0.366388889
6.6	19.85	5359	0.364722222
6.616666667	19.8	5406	0.365555556
6.633333333	19.9	5206	0.364444444
6.65	19.8	5219	0.366388889
6.666666667	19.8	5192	0.364722222
6.683333333	19.8	5256	0.365833333
6.7	19.9	5187	0.364166667
6.716666667	19.85	5288	0.368055556
6.733333333	19.85	5288	0.367222222
6.75	19.85	5378	0.368055556
6.766666667	19.85	5234	0.366388889
6.783333333	19.9	5268	0.366666667
6.8	19.8	5235	0.366388889
6.816666667	19.85	5334	0.363888889
6.833333333	19.9	5212	0.364722222
6.85	19.85	5291	0.368333333
6.866666667	19.85	5325	0.367222222
6.883333333	19.9	5238	0.366666667
6.9	19.85	5439	0.368888889
6.916666667	20	5268	0.363611111
6.933333333	19.9	5258	0.366944444
6.95	19.95	5321	0.369166667
6.966666667	19.95	5352	0.369444444
6.983333333	19.9	5243	0.366944444
7	19.9	5210	0.365833333
7.016666667	19.9	5284	0.365555556
7.033333333	19.85	5370	0.367222222
7.05	19.9	5200	0.368333333
7.066666667	19.9	5338	0.367222222
7.083333333	19.95	5294	0.367222222
7.1	19.9	5183	0.367222222
7.116666667	19.9	5255	0.365833333
7.133333333	19.95	5246	0.3675
7.15	19.85	5345	0.366666667
7.166666667	19.95	5286	0.365833333
7.183333333	19.95	5302	0.368888889
7.2	19.95	5338	0.367222222
7.216666667	19.95	5146	0.368611111
7.233333333	19.95	5303	0.368055556
7.25	19.95	5325	0.369722222
7.266666667	19.95	5311	0.365277778
7.283333333	20	5331	0.367777778
7.3	19.95	5375	0.366666667
7.316666667	19.95	5292	0.365
7.333333333	20	5318	0.369166667
7.35	19.95	5277	0.367222222
7.366666667	20	5246	0.366111111
7.383333333	20	5160	0.366388889
7.4	20	5287	0.368888889
7.416666667	20	5380	0.37
7.433333333	19.95	5335	0.366111111
7.45	19.95	5386	0.368333333
7.466666667	20	5235	0.365555556
7.483333333	20.05	5336	0.367222222
7.5	20	5233	0.367222222
7.516666667	20	5256	0.368055556
7.533333333	19.95	5315	0.367777778
7.55	20	5260	0.365
7.566666667	20	5277	0.366111111
7.583333333	20	5231	0.366388889
7.6	20	5149	0.365833333
7.616666667	20	5279	0.367222222
7.633333333	19.95	5354	0.367222222
7.65	20.05	5273	0.365833333
7.666666667	20	5310	0.366388889
7.683333333	20	5317	0.367777778
7.7	20	5316	0.367777778
7.716666667	20	5221	0.365555556
7.733333333	20	5249	0.3675
7.75	20.05	5155	0.367222222
7.766666667	20.05	5259	0.366944444
7.783333333	20	5252	0.365555556
7.8	20	5231	0.367222222
7.816666667	20.05	5283	0.367777778
7.833333333	20.05	5340	0.364444444
7.85	20.05	5172	0.366111111
7.86666667	20.05	5250	0.3675
7.88333333	20.05	5239	0.364722222
7.9	20.15	5284	0.367777778
7.91666667	20	5321	0.367222222
7.93333333	20.05	5302	0.366666667
7.95	20	5225	0.365833333
7.96666667	20.1	5236	0.366388889
7.98333333	20.1	5225	0.364722222
8	20.05	5166	0.366944444
8.01666667	20	5275	0.366111111
8.03333333	20.1	5291	0.367222222
8.05	20	5355	0.368611111
8.06666667	20.05	5371	0.3675
8.08333333	20.15	5386	0.3675
8.1	20.05	5351	0.365
8.11666667	20.1	5270	0.366944444
8.13333333	20.05	5329	0.365833333
8.15	20.1	5166	0.363611111
8.16666667	20.05	5305	0.366111111
8.18333333	20.1	5353	0.365277778
8.2	20.15	5245	0.363888889
8.21666667	20.05	5381	0.367222222
8.23333333	20.1	5277	0.365277778
8.25	20.1	5309	0.365555556
8.26666667	20.1	5238	0.364722222
8.28333333	20.1	5319	0.367222222
8.3	20.15	5272	0.365
8.31666667	20.1	5321	0.366388889
8.33333333	20.1	5320	0.367222222
8.35	20.15	5300	0.366111111
8.36666667	20.15	5393	0.366944444
8.38333333	20.1	5318	0.368333333
8.4	20.15	5337	0.365277778
8.41666667	20.1	5171	0.367777778
8.43333333	20.15	5312	0.367777778
8.45	20.1	5318	0.368333333
8.46666667	20.15	5201	0.364166667
8.48333333	20.15	5366	0.366388889
8.5	20.1	5225	0.365833333
8.51666667	20.15	5209	0.366111111
8.53333333	20.15	5417	0.366666667
8.55	20.25	5275	0.365277778
8.56666667	20.15	5306	0.365277778
8.58333333	20.15	5320	0.367222222
8.6	20.15	5309	0.366666667
8.61666667	20.2	5257	0.367222222
8.63333333	20.15	5288	0.365277778
8.65	20.15	5311	0.365555556
8.66666667	20.2	5473	0.370277778
8.68333333	20.15	5262	0.364444444
8.7	20.2	5311	0.367777778
8.71666667	20.25	5344	0.365833333
8.73333333	20.15	5230	0.364166667
8.75	20.2	5223	0.365833333
8.76666667	20.15	5334	0.365
8.78333333	20.15	5253	0.364722222
8.8	20.25	5329	0.366944444
8.81666667	20.25	5347	0.367222222
8.83333333	20.2	5265	0.3625
8.85	20.2	5308	0.364444444
8.86666667	20.25	5363	0.363888889
8.88333333	20.2	5130	0.365833333
8.9	20.2	5462	0.368611111
8.91666667	20.2	5370	0.368611111
8.93333333	20.2	5197	0.366111111
8.95	20.15	5325	0.367777778
8.96666667	20.15	5335	0.365
8.98333333	20.2	5365	0.363888889
9	20.25	5279	0.364444444
9.01666667	20.25	5269	0.363888889
9.03333333	20.25	5383	0.366388889
9.05	20.25	5364	0.367222222
9.06666667	20.2	5278	0.365277778
9.08333333	20.2	5280	0.364444444
9.1	20.25	5404	0.365555556
9.11666667	20.25	5486	0.368055556
9.13333333	20.25	5341	0.366388889
9.15	20.25	5354	0.366388889
9.16666667	20.25	5300	0.362777778
9.18333333	20.25	5274	0.367222222
9.2	20.25	5297	0.365555556
9.21666667	20.3	5235	0.366666667
9.23333333	20.25	5335	0.366111111
9.25	20.25	5319	0.365
9.26666667	20.25	5298	0.365555556
9.28333333	20.2	5203	0.366388889
9.3	20.3	5239	0.367777778
9.31666667	20.25	5176	0.3675
9.33333333	20.25	5258	0.365833333
9.35	20.3	5268	0.364722222
9.36666667	20.25	5383	0.367222222
9.38333333	20.25	5385	0.366388889
9.4	20.25	5309	0.365277778
9.41666667	20.3	5215	0.365
9.43333333	20.35	5372	0.365277778
9.45	20.3	5356	0.365555556
9.46666667	20.3	5204	0.366388889
9.48333333	20.3	5247	0.365277778
9.5	20.3	5257	0.368888889
9.51666667	20.35	5299	0.368888889
9.53333333	20.25	5261	0.366111111
9.55	20.35	5251	0.362222222
9.56666667	20.25	5352	0.366944444
9.58333333	20.3	5236	0.362222222
9.6	20.3	5315	0.367777778
9.61666667	20.25	5319	0.366944444
9.63333333	20.3	5161	0.364444444
9.65	20.35	5277	0.366111111
9.66666667	20.3	5288	0.365833333
9.68333333	20.35	5339	0.366111111
9.7	20.3	5200	0.364722222
9.71666667	20.3	5254	0.364444444
9.73333333	20.3	5120	0.364722222
9.75	20.35	5298	0.363333333
9.76666667	20.35	5347	0.3675
9.78333333	20.3	5263	0.367222222
9.8	20.3	5379	0.364722222
9.81666667	20.35	5392	0.365555556
9.83333333	20.3	5244	0.365833333
9.85	20.35	5158	0.363055556
9.86666667	20.3	5312	0.367222222
9.88333333	20.3	5167	0.364722222
9.9	20.3	5168	0.364722222
9.91666667	20.35	5359	0.366388889
9.93333333	20.35	5304	0.364722222
9.95	20.35	5272	0.364444444
9.96666667	20.3	5310	0.366111111
9.98333333	20.35	5285	0.364444444
10	20.3	5186	0.365
10.01666667	20.3	5181	0.364722222
10.03333333	20.35	5257	0.3625
10.05	20.4	5228	0.365833333
10.06666667	20.35	5341	0.364166667
10.08333333	20.3	5346	0.3625
10.1	20.35	5407	0.3675
10.11666667	20.3	5260	0.365833333
10.13333333	20.35	5289	0.364722222
10.15	20.4	5213	0.366944444
10.16666667	20.4	5380	0.365833333
10.18333333	20.35	5250	0.365
10.2	20.35	5264	0.365
10.21666667	20.45	5314	0.365277778
10.23333333	20.4	5295	0.367222222
10.25	20.4	5300	0.367777778
10.26666667	20.35	5327	0.364166667
10.28333333	20.35	5280	0.362222222
10.3	20.45	5293	0.365833333
10.31666667	20.4	5202	0.364722222
10.33333333	20.35	5341	0.367222222
10.35	20.35	5343	0.365277778
10.36666667	20.35	5253	0.363055556
10.38333333	20.45	5295	0.363888889
10.4	20.35	5180	0.362222222
10.41666667	20.4	5235	0.365
10.43333333	20.45	5295	0.365
10.45	20.45	5324	0.363888889
10.46666667	20.35	5299	0.365277778
10.48333333	20.4	5329	0.366388889
10.5	20.45	5303	0.365555556
10.51666667	20.4	5241	0.365833333
10.53333333	20.4	5261	0.366944444
10.55	20.4	5295	0.366111111
10.56666667	20.4	5285	0.367222222
10.58333333	20.4	5385	0.368888889
10.6	20.35	5359	0.368333333
10.61666667	20.4	5210	0.362222222
10.63333333	20.4	5203	0.363055556
10.65	20.45	5155	0.365
10.66666667	20.45	5273	0.365555556
10.68333333	20.45	5266	0.366111111
10.7	20.5	5226	0.3675
10.71666667	20.4	5347	0.365277778
10.73333333	20.45	5310	0.365
10.75	20.45	5365	0.365555556
10.76666667	20.45	5249	0.366111111
10.78333333	20.45	5205	0.364166667
10.8	20.5	5255	0.364444444
10.81666667	20.4	5304	0.367777778
10.83333333	20.5	5244	0.362777778
10.85	20.5	5265	0.363888889
10.86666667	20.45	5273	0.365555556
10.88333333	20.45	5244	0.364722222
10.9	20.4	5419	0.363333333
10.91666667	20.4	5385	0.366111111
10.93333333	20.45	5334	0.366666667
10.95	20.45	5316	0.365555556
10.96666667	20.45	5271	0.366666667
10.98333333	20.45	5225	0.364444444
11	20.4	5207	0.364166667
11.01666667	20.45	5352	0.364722222
11.03333333	20.45	5312	0.366111111
11.05	20.45	5362	0.3675
11.06666667	20.45	5308	0.364722222
11.08333333	20.55	5234	0.362777778
11.1	20.45	5282	0.367222222
11.11666667	20.45	5262	0.365833333
11.13333333	20.45	5293	0.363888889
11.15	20.5	5277	0.367222222
11.16666667	20.45	5254	0.365277778
11.18333333	20.45	5212	0.3625
11.2	20.55	5335	0.366666667
11.21666667	20.45	5343	0.367222222
11.23333333	20.5	5273	0.366666667
11.25	20.5	5321	0.363888889
11.26666667	20.45	5267	0.363055556
11.28333333	20.5	5222	0.3675
11.3	20.45	5301	0.3625
11.31666667	20.5	5280	0.365
11.33333333	20.45	5286	0.364722222
11.35	20.45	5232	0.363055556
11.36666667	20.5	5302	0.365555556
11.38333333	20.5	5294	0.365833333
11.4	20.5	5276	0.366944444
11.41666667	20.45	5286	0.363333333
11.43333333	20.45	5347	0.364444444
11.45	20.45	5290	0.363888889
11.46666667	20.45	5270	0.3675
11.48333333	20.55	5368	0.368055556
11.5	20.5	5277	0.367222222
11.51666667	20.45	5246	0.365
11.53333333	20.55	5232	0.363055556
11.55	20.45	5311	0.364166667
11.56666667	20.5	5324	0.367222222
11.58333333	20.5	5369	0.363888889
11.6	20.6	5266	0.366388889
11.61666667	20.6	5253	0.366388889
11.63333333	20.5	5216	0.363055556
11.65	20.55	5265	0.364444444
11.66666667	20.6	5170	0.362777778
11.68333333	20.55	5341	0.365277778
11.7	20.6	5278	0.366111111
11.71666667	20.45	5215	0.365
11.73333333	20.55	5374	0.366388889
11.75	20.55	5341	0.365277778
11.76666667	20.55	5244	0.365833333
11.78333333	20.5	5319	0.368055556
11.8	20.55	5331	0.365555556
11.81666667	20.55	5388	0.365277778
11.83333333	20.55	5238	0.363333333
11.85	20.55	5292	0.367222222
11.86666667	20.5	5297	0.368611111
11.88333333	20.55	5270	0.364722222
11.9	20.55	5353	0.365
11.91666667	20.55	5199	0.362777778
11.93333333	20.55	5269	0.361388889
11.95	20.55	5327	0.366666667
11.96666667	20.55	5339	0.364166667
11.98333333	20.6	5201	0.367222222
12	20.55	5366	0.365
12.01666667	20.55	5306	0.365
12.03333333	20.6	5389	0.361388889
12.05	20.55	5379	0.366111111
12.06666667	20.55	5354	0.365277778
12.08333333	20.65	5409	0.368888889
12.1	20.55	5298	0.364722222
12.11666667	20.55	5391	0.365833333
